trace,prediction-eligible instructions,correct predictions,incorrect predictions,percent predicted
compute_int_0.gz.txt,20379268,109351,20269917,0.54
compute_int_1.gz.txt,21171923,2086186,19085737,9.85
compute_int_2.gz.txt,19832437,2025811,17806626,10.21
compute_int_3.gz.txt,18949455,2074721,16874734,10.95
compute_int_4.gz.txt,28872564,1606096,27266468,5.56
compute_int_5.gz.txt,19920050,3524195,16395855,17.69
compute_int_6.gz.txt,19550834,2970297,16580537,15.19
compute_int_7.gz.txt,18702246,181324,18520922,0.97
compute_int_8.gz.txt,20271148,15112,20256036,0.07
compute_int_9.gz.txt,19748632,3082701,16665931,15.61
compute_int_10.gz.txt,26644493,1449284,25195209,5.44
compute_int_11.gz.txt,29924345,17103,29907242,0.06
compute_int_12.gz.txt,19964736,2600826,17363910,13.03
compute_int_13.gz.txt,19745107,3421632,16323475,17.33
compute_int_14.gz.txt,14689925,371636,14318289,2.53
compute_int_15.gz.txt,26912656,2964406,23948250,11.01
compute_int_16.gz.txt,21062005,269830,20792175,1.28
compute_int_17.gz.txt,28150975,1381053,26769922,4.91
compute_int_18.gz.txt,19482602,2472256,17010346,12.69
compute_int_19.gz.txt,18475780,820907,17654873,4.44
