trace,prediction-eligible instructions,correct predictions,incorrect predictions,percent predicted
compute_int_0.gz.txt,20379268,2688295,20269917,13.19
compute_int_1.gz.txt,21171923,2809820,19085737,10.55
compute_int_2.gz.txt,19832437,17933,17806626,0.06
compute_int_3.gz.txt,18949455,2166603,16874734,10.85
compute_int_4.gz.txt,28872564,7546914,27266468,38.22
compute_int_5.gz.txt,19920050,3956258,16395855,26.93
compute_int_6.gz.txt,19550834,1299606,16580537,4.83
compute_int_7.gz.txt,18702246,2979026,18520922,14.14
compute_int_8.gz.txt,20271148,396170,20256036,1.41
compute_int_9.gz.txt,19748632,2110804,16665931,10.83
compute_int_10.gz.txt,26644493,4593593,25195209,24.86
compute_int_11.gz.txt,29924345,6246868,29907242,29.51
compute_int_12.gz.txt,19964736,4650762,17363910,23.45
compute_int_13.gz.txt,19745107,2692847,16323475,14.21
compute_int_14.gz.txt,14689925,381209,14318289,1.32
compute_int_15.gz.txt,26912656,2908296,23948250,14.60
compute_int_16.gz.txt,21062005,2506006,20792175,12.82
compute_int_17.gz.txt,28150975,4869285,26769922,26.04
compute_int_18.gz.txt,19482602,3080960,17010346,15.20
compute_int_19.gz.txt,18475780,2348384,17654873,11.89
